Timestamp,FPS,Width,Height,PixelFormat,ConvertRgb,RotateAngle,FlipH,FlipV,TargetFps
2025-11-06 09:23:22.132,14.629,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:23.170,14.453,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:24.212,14.395,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:25.226,14.792,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:26.284,14.172,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:27.311,14.611,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:28.345,14.495,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:29.385,14.430,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:30.416,15.513,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:31.426,14.850,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:32.480,14.244,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:33.526,15.297,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:34.553,14.601,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:35.561,14.879,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:36.588,14.607,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:37.646,15.118,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:38.678,14.541,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:39.698,14.704,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:40.740,14.392,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:41.770,14.565,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:42.805,14.487,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:43.834,14.580,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:44.873,14.443,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:45.898,14.635,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:46.908,14.851,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:47.949,14.405,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:49.019,14.015,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:50.038,14.724,1280,720,YUY2,1,0,False,False,20
2025-11-06 09:23:51.061,14.669,1280,720,YUY2,1,0,False,False,20
