Timestamp,FPS,Width,Height,PixelFormat,ConvertRgb,RotateAngle,FlipH,FlipV,TargetFps
2025-11-06 09:20:26.789,16.526,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:27.792,14.956,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:28.866,13.969,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:29.893,14.604,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:30.913,14.705,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:31.935,14.681,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:32.989,14.229,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:34.024,14.495,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:35.062,15.404,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:36.087,15.618,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:37.114,14.606,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:38.158,15.328,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:39.170,14.815,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:40.210,14.428,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:41.219,14.870,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:42.284,15.018,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:43.294,15.849,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:44.338,15.321,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:45.378,14.420,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:46.407,15.553,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:47.415,14.886,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:48.485,14.950,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:49.528,14.375,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:50.545,15.739,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:51.551,14.911,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:52.593,15.357,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:53.633,14.423,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:54.684,14.262,1280,720,MJPG,1,180,False,False,25
2025-11-06 09:20:55.712,14.592,1280,720,MJPG,1,180,False,False,25
