Timestamp,FPS,Width,Height,PixelFormat,ConvertRgb,RotateAngle,FlipH,FlipV,TargetFps
2025-11-06 09:27:49.191,16.155,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:50.251,16.037,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:51.309,14.176,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:52.351,17.279,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:53.377,15.588,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:54.453,15.793,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:55.511,15.122,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:56.540,15.562,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:57.582,15.353,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:58.630,15.266,640,480,MJPG,1,180,False,False,20
2025-11-06 09:27:59.677,15.273,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:00.734,16.091,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:01.778,15.330,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:02.839,16.019,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:03.856,13.766,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:04.883,15.576,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:05.899,14.761,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:06.925,15.603,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:07.938,14.803,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:08.938,13.995,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:09.952,15.790,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:10.979,15.577,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:12.004,16.580,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:13.048,14.374,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:14.107,14.164,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:15.163,15.145,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:16.232,14.040,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:17.278,14.328,640,480,MJPG,1,180,False,False,20
2025-11-06 09:28:18.318,15.393,640,480,MJPG,1,180,False,False,20
