Timestamp,FPS,Width,Height,RotateAngle,FlipH,FlipV,TargetFps
2025-11-06 08:46:17.342,29.762,1280,720,270,False,False,30
2025-11-06 08:46:18.383,29.781,1280,720,270,False,False,30
2025-11-06 08:46:19.422,29.829,1280,720,270,False,False,30
2025-11-06 08:46:20.423,30.955,1280,720,270,False,False,30
2025-11-06 08:46:21.455,29.082,1280,720,270,False,False,30
2025-11-06 08:46:22.462,30.794,1280,720,270,False,False,30
2025-11-06 08:46:23.471,28.742,1280,720,270,False,False,30
2025-11-06 08:46:24.513,30.711,1280,720,270,False,False,30
2025-11-06 08:46:25.551,29.856,1280,720,270,False,False,30
2025-11-06 08:46:26.589,29.857,1280,720,270,False,False,30
2025-11-06 08:46:27.590,30.979,1280,720,270,False,False,30
2025-11-06 08:46:28.637,28.653,1280,720,270,False,False,30
2025-11-06 08:46:29.679,30.715,1280,720,270,False,False,30
2025-11-06 08:46:30.718,29.833,1280,720,270,False,False,30
2025-11-06 08:46:31.719,30.950,1280,720,270,False,False,30
2025-11-06 08:46:32.752,29.057,1280,720,270,False,False,30
2025-11-06 08:46:33.806,29.412,1280,720,270,False,False,30
2025-11-06 08:46:34.844,30.815,1280,720,270,False,False,30
2025-11-06 08:46:35.885,29.772,1280,720,270,False,False,30
2025-11-06 08:46:36.925,30.782,1280,720,270,False,False,30
2025-11-06 08:46:37.933,28.764,1280,720,270,False,False,30
2025-11-06 08:46:38.974,30.747,1280,720,270,False,False,30
2025-11-06 08:46:40.015,29.775,1280,720,270,False,False,30
2025-11-06 08:46:41.055,29.823,1280,720,270,False,False,30
2025-11-06 08:46:42.092,30.842,1280,720,270,False,False,30
2025-11-06 08:46:43.103,28.680,1280,720,270,False,False,30
2025-11-06 08:46:44.142,30.811,1280,720,270,False,False,30
2025-11-06 08:46:45.181,29.847,1280,720,270,False,False,30
2025-11-06 08:46:46.222,29.774,1280,720,270,False,False,30
