Timestamp,FPS,Width,Height,RotateAngle,FlipH,FlipV,TargetFps
2025-11-06 08:42:45.126,29.737,1280,720,0,False,False,30
2025-11-06 08:42:46.165,30.786,1280,720,0,False,False,30
2025-11-06 08:42:47.166,29.978,1280,720,0,False,False,30
2025-11-06 08:42:48.213,29.614,1280,720,0,False,False,30
2025-11-06 08:42:49.253,29.814,1280,720,0,False,False,30
2025-11-06 08:42:50.292,29.824,1280,720,0,False,False,30
2025-11-06 08:42:51.293,30.962,1280,720,0,False,False,30
2025-11-06 08:42:52.324,29.098,1280,720,0,False,False,30
2025-11-06 08:42:53.331,30.780,1280,720,0,False,False,30
2025-11-06 08:42:54.331,29.996,1280,720,0,False,False,30
2025-11-06 08:42:55.379,29.588,1280,720,0,False,False,30
2025-11-06 08:42:56.421,29.749,1280,720,0,False,False,30
2025-11-06 08:42:57.463,30.720,1280,720,0,False,False,30
2025-11-06 08:42:58.500,29.891,1280,720,0,False,False,30
2025-11-06 08:42:59.510,29.718,1280,720,0,False,False,30
2025-11-06 08:43:00.549,29.823,1280,720,0,False,False,30
2025-11-06 08:43:01.589,29.806,1280,720,0,False,False,30
2025-11-06 08:43:02.630,30.735,1280,720,0,False,False,30
2025-11-06 08:43:03.668,29.880,1280,720,0,False,False,30
2025-11-06 08:43:04.677,29.737,1280,720,0,False,False,30
2025-11-06 08:43:05.717,29.789,1280,720,0,False,False,30
2025-11-06 08:43:06.756,29.852,1280,720,0,False,False,30
2025-11-06 08:43:07.757,30.967,1280,720,0,False,False,30
2025-11-06 08:43:08.805,28.631,1280,720,0,False,False,30
2025-11-06 08:43:09.844,30.792,1280,720,0,False,False,30
2025-11-06 08:43:10.883,29.826,1280,720,0,False,False,30
2025-11-06 08:43:11.925,29.744,1280,720,0,False,False,30
2025-11-06 08:43:12.964,30.815,1280,720,0,False,False,30
2025-11-06 08:43:13.970,28.825,1280,720,0,False,False,30
